indicator_key,var_id,indikator,unit,subject,source_domain,kode_wilayah,nama_wilayah,turvar_id,turvar_label,th_id,tahun,turth_id,turth_label,nilai,data_key,last_update
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8100,MALUKU,0,Tidak ada,121,2021,0,Tahun,10.03,810041501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8101,Maluku Tenggara Barat / Kepulauan Tanimbar,0,Tidak ada,121,2021,0,Tahun,9.69,810141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8102,Maluku Tenggara,0,Tidak ada,121,2021,0,Tahun,9.76,810241501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8103,Maluku Tengah,0,Tidak ada,121,2021,0,Tahun,9.68,810341501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8104,Buru,0,Tidak ada,121,2021,0,Tahun,8.79,810441501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8105,Kepulauan Aru,0,Tidak ada,121,2021,0,Tahun,8.83,810541501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8106,Seram Bagian Barat,0,Tidak ada,121,2021,0,Tahun,8.92,810641501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8107,Seram Bagian Timur,0,Tidak ada,121,2021,0,Tahun,8.46,810741501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8108,Maluku Barat Daya,0,Tidak ada,121,2021,0,Tahun,8.59,810841501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,8109,Buru Selatan,0,Tidak ada,121,2021,0,Tahun,7.95,810941501210,2025-11-05 12:00:46
